Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita)
Khabarovsk Krai,2018,3.57,56.63,9.15,2.14,1.04,0.75,0.66,9.1
Amur Oblast,2018,3.33,87.97,6.47,1.03,0.61,0.80,0.44,8.7
Magadan Oblast,2018,4.36,64.62,12.15,2.59,1.74,0.42,0.71,11.
Sakhalin Oblast,2018,4.67,63.33,12.65,2.84,1.36,0.27,0.62,11.4
Jewish Autonomous Oblast,2018,2.58,63.30,7.97,0.95,0.54,0.28,0.49,8.6
Chukotka Autonomous Okrug,2018,2.73,45.11,10.95,1.76,1.48,0.11,0.31,8.3
Belgorod Oblast,2019,1.95,47.63,3.77,0.73,0.35,0.63,0.18,5.
Bryansk Oblast,2019,2.74,40.18,4.26,0.82,0.56,0.43,0.78,5.5
Vladimir Oblast,2019,3.89,50.90,6.77,0.94,0.92,0.58,0.71,7.5
Voronezh Oblast,2019,2.84,35.50,3.88,1.03,0.70,0.42,0.45,4.9
Ivanovo Oblast,2019,3.60,49.40,5.91,0.87,0.72,0.36,0.75,6.9
Kaluga Oblast,2019,4.09,45.79,6.19,1.24,0.98,0.48,0.73,6.9
Kostroma Oblast,2019,3.89,54.36,7.68,0.84,0.77,0.28,0.65,7.9
Kursk Oblast,2019,2.43,35.78,3.63,0.97,0.60,0.35,0.35,4.7
Lipetsk Oblast,2019,2.68,42.09,4.08,0.87,0.59,0.34,0.45,5.2
Moscow Oblast,2019,6.11,55.62,7.64,2.08,1.55,0.68,0.74,8.9
Oryol Oblast,2019,2.73,38.90,3.92,1.06,0.68,0.40,0.44,5.2
Ryazan Oblast,2019,3.15,47.68,4.47,1.04,0.70,0.58,0.51,6.
Smolensk Oblast,2019,3.70,49.38,6.37,1.27,1.02,0.51,0.55,7.2
Tambov Oblast,2019,1.99,33.95,3.35,0.66,0.48,0.31,0.34,4.2
Tver Oblast,2019,4.18,47.15,7.03,1.22,0.97,0.50,0.81,7.4
Tula Oblast,2019,3.35,39.33,4.32,0.88,0.74,0.48,0.57,5.4
Yaroslavl Oblast,2019,5.00,49.22,7.46,1.30,1.16,0.51,0.64,8.
Moscow,2019,5.45,35.40,4.41,1.90,1.09,0.79,0.45,5.8
Republic of Karelia,2019,7.20,58.04,10.91,1.36,1.53,0.89,1.26,10.7
Komi Republic,2019,4.77,80.53,11.65,1.42,1.24,0.39,0.91,11.4
Nenets Autonomous Okrug,2019,8.25,46.90,9.50,1.90,1.14,0.25,0.36,9.1
Vologda Oblast,2019,4.81,51.52,8.88,0.91,0.90,0.44,0.87,8.6
Kaliningrad Oblast,2019,5.59,40.07,4.52,1.18,0.93,1.05,0.53,6.3
Leningrad Oblast,2019,6.31,52.32,7.88,1.58,1.60,0.82,0.80,8.8
Murmansk Oblast,2019,5.64,68.81,8.59,1.93,2.08,0.70,0.80,10.2
Novgorod Oblast,2019,4.50,47.85,6.65,1.08,1.09,0.61,0.77,7.6
Pskov Oblast,2019,4.59,48.47,5.71,1.32,0.95,0.80,0.78,7.3
Saint Petersburg,2019,7.07,35.90,5.12,2.02,1.42,1.19,0.61,6.8
Arkhangelsk Oblast,2019,5.47,48.31,9.26,1.54,1.15,0.39,0.70,8.9
